"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","boot.ci.lower","boot.ci.upper","boot.se"
"87","Intrusive","~","Cocaine.vs.all",-0.0192863728548982,0.10541662576366,-0.182953805580322,0.854834264557502,-0.225899162723409,0.187326417013613,-0.217735198274548,0.122382996474922,0.09005164140632
"88","Avoidence","~","Cocaine.vs.all",0.0445272622396971,0.117407094200777,0.379255295796277,0.704498293034052,-0.185586413923328,0.274640938402722,-0.189806503295227,0.202047643565037,0.101394503973368
"89","Negative.mood","~","Cocaine.vs.all",0.0201413961438851,0.0727721291615903,0.276773489740299,0.781954038377136,-0.122489356091129,0.162772148378899,-0.121029889017037,0.13143875578524,0.0638495487987651
"90","Hyperarousal","~","Cocaine.vs.all",-0.0306101069185973,0.10681828348496,-0.286562430325023,0.774447384669283,-0.239970095439508,0.178749881602313,-0.231696558919432,0.1069943892639,0.0913558124804703
"91","Dissociation","~","Cocaine.vs.all",0.103266180300213,0.0857609848833173,1.20411607260239,0.228544718539959,-0.0648222613497728,0.271354621950199,-0.0570053592655819,0.244359031749947,0.0763304241353662
"92","GAD","~","Cocaine.vs.all",-0.0197491267096117,0.0967944364134608,-0.204031630756675,0.838328781017548,-0.209462735983847,0.169964482564624,-0.197696513177691,0.120099551674115,0.0828395838095146
"93","PHQ","~","Cocaine.vs.all",-0.0402458124495051,0.0930005660512114,-0.432748037547894,0.665197827042278,-0.222523572451718,0.142031947552708,-0.206418195287457,0.104952882931574,0.0813029869714357
"94","Cocaine.vs.all","~","SEX.cod",0.0627571473928648,0.0896050203384164,0.700375349013329,0.483692926832096,-0.11286546530441,0.23837976009014,-0.101877111652661,0.233695492426009,0.0898524976198312
"95","Cocaine.vs.all","~","Age",-0.138082354564627,0.089818048506757,-1.53735643181158,0.124206049284679,-0.314122494799543,0.0379577856702878,-0.326335816730118,-0.00334123904290067,0.0892034734937208
"96","VAS","~","SEX.cod",-0.0437101730676496,0.0835605472675705,-0.523095820898402,0.600907573591525,-0.207485836240545,0.120065490105245,-0.210307720480311,0.120410514550284,0.0834447797457778
"97","Intrusive","~","SEX.cod",0.05917774096275,0.0749020884946583,0.790067969426116,0.429488074734368,-0.0876276548536122,0.205983136779112,-0.0864068046092813,0.209629514848245,0.0748327095373879
"98","Avoidence","~","SEX.cod",0.127987016544137,0.0796240173313044,1.60739210145101,0.107968381660427,-0.0280731897296127,0.284047222817886,-0.0265213423847528,0.29065241153648,0.0800243608986887
"99","Negative.mood","~","SEX.cod",0.0108914774989205,0.0718303740204816,0.151627743102311,0.879480550572739,-0.129893468577265,0.151676423575106,-0.128212357214266,0.151992009716369,0.0721173627308737
"100","Hyperarousal","~","SEX.cod",0.0772838081226651,0.0669859543217098,1.15373153827888,0.248610249642728,-0.0540062498179313,0.208573866063261,-0.0533674013753935,0.205939834746916,0.0672272334703837
"101","Dissociation","~","SEX.cod",0.235805724727273,0.0859374176800742,2.74392378888001,0.00607096303474108,0.0673714811499521,0.404239968304594,0.0772716064531005,0.409310675594216,0.0858077501656815
"102","GAD","~","SEX.cod",0.0539302685477084,0.0678945719386417,0.794323714073147,0.427007002070653,-0.0791406471977932,0.18700118429321,-0.0851377410401483,0.182621499669133,0.0678631254519903
"103","PHQ","~","SEX.cod",0.118226407392311,0.0646579053722149,1.8284911444582,0.067475873514808,-0.00850075845302901,0.244953573237651,-0.0273169589538412,0.234230186824119,0.0660989942646085
"104","VAS","~","Age",0.0827209451793735,0.0730378090940469,1.1325770338053,0.257391917645978,-0.0604305301546704,0.225872420513417,-0.0657974587631263,0.223887660192224,0.0728901564197507
"105","Intrusive","~","Age",0.215872032364782,0.0758697780162331,2.84529674409478,0.00443700665760738,0.067169999937916,0.364574064791647,0.0744678106832499,0.369051016726726,0.0760093464317084
"106","Avoidence","~","Age",0.11963910867665,0.0658755022934326,1.81613960442739,0.0693489598034978,-0.0094745032819633,0.248752720635264,-0.0153047181180286,0.248823531743571,0.0663816888779563
"107","Negative.mood","~","Age",0.0751634539648795,0.0864833294983007,0.869109161278954,0.384787426285557,-0.0943407571149003,0.244667665044659,-0.0885705346756215,0.246710166841315,0.0871227674029947
"108","Hyperarousal","~","Age",0.110830371585289,0.070097227013906,1.58109494920965,0.113856329424014,-0.0265576687780951,0.248218411948673,-0.0268329313425385,0.249528665468322,0.0705671268291627
"109","Dissociation","~","Age",0.229703485357004,0.0780330239710221,2.94367017536454,0.00324345452861929,0.0767615687690499,0.382645401944958,0.0686693215570977,0.380462081719139,0.0786310586826199
"110","GAD","~","Age",0.164833746239865,0.069610638278514,2.36793901501607,0.0178874841057763,0.0283994022731318,0.301268090206597,0.0250373532036502,0.304400386624788,0.0698906090848761
"111","PHQ","~","Age",0.102354014770299,0.0608690407184597,1.68154473213603,0.0926571554004822,-0.0169471128113839,0.221655142351982,-0.0114343648051003,0.235629469457062,0.062156586143363
"112","VAS","~","Dissociation",0.463814080363665,0.0881821981324064,5.25972464042282,1.4427128136596e-07,0.290980147946573,0.636648012780756,0.285242876886194,0.631398918004971,0.0889500692853171
"113","Intrusive","~","Dissociation",0.456355919041284,0.0800779506637934,5.69889607886308,1.20585699203701e-08,0.299406019784474,0.613305818298094,0.293782413822407,0.610917078103168,0.0808455982043373
"114","Avoidence","~","Dissociation",0.396870460543682,0.0813790758148479,4.87681208676581,1.07814052952016e-06,0.237370402851425,0.556370518235938,0.230564081232281,0.55630822016924,0.0823927954099335
"115","Negative.mood","~","Dissociation",0.545500123033157,0.0753148478175535,7.24292936705661,4.39204228541712e-13,0.397885733809637,0.693114512256677,0.39617232794564,0.697095341799707,0.0776523290861215
"116","Hyperarousal","~","Dissociation",0.514057109892549,0.0699092483434174,7.35320607893436,1.93400850889702e-13,0.377037500953184,0.651076718831913,0.375162370681383,0.650528327345292,0.0711781731615793
"117","GAD","~","Dissociation",0.470773153388779,0.0790319841454366,5.95674217823571,2.57315702079097e-09,0.315873310836982,0.625672995940575,0.317418884786132,0.627988710704401,0.0798353838758788
"118","PHQ","~","Dissociation",0.390084895758944,0.0924068747046698,4.22138392847552,2.42806974612986e-05,0.208970749413886,0.571199042104002,0.226911976416005,0.606750595409293,0.0949246779100145
"119","PDS","~~","PDS",0.270272813831992,0.11884163320202,2.27422668765039,0.0229523604385575,0.0373474928921141,0.503198134771871,0.0378538634394261,0.505603047954406,0.118345057402862
"120","VAS","~~","VAS",0.729343132954185,0.0759792197096114,9.59924484275696,0,0.580426598749891,0.878259667158479,0.517653316939488,0.812737136462152,0.0747664266072157
"121","Intrusive","~~","Intrusive",0.578630316355104,0.0675286592232742,8.56866289084672,0,0.446276576353208,0.710984056357,0.406693063151641,0.664776814665774,0.0657188488884777
"122","Avoidence","~~","Avoidence",0.687986996639931,0.0679978135529588,10.1177811563618,0,0.554713731048662,0.8212602622312,0.502032471346602,0.757653691219936,0.0664705802009383
"123","Negative.mood","~~","Negative.mood",0.577481247360288,0.0760738991054595,7.59105625123459,3.17523785042795e-14,0.428379144950054,0.726583349770522,0.391861785170864,0.685205787181643,0.073424112171066
"124","Hyperarousal","~~","Hyperarousal",0.516159175770233,0.0694069738388475,7.43670480388147,1.0325074129014e-13,0.380124006770178,0.652194344770288,0.357301264866299,0.615098385016555,0.0666486104755406
"125","Dissociation","~~","Dissociation",0.793993847604557,0.06127237743636,12.9584305493814,0,0.673902194582147,0.914085500626968,0.608028801279241,0.848022794287111,0.0618120742792131
"126","GAD","~~","GAD",0.59036472840203,0.0774009210392786,7.627360507796,2.39808173319034e-14,0.438661710794816,0.742067746009245,0.407480561731936,0.703138006347103,0.075708361173257
"127","PHQ","~~","PHQ",0.640736423288102,0.0703919521396474,9.10241020190736,0,0.502770732292925,0.778702114283278,0.447740603584605,0.732516513557667,0.0734355456299647
"128","Alcohol.vs..all","~~","Alcohol.vs..all",0.992670104589911,0.0136913579770293,72.5034073504879,0,0.965835536055488,1.01950467312433,0.929650344073699,0.999341566046441,0.0190558762353594
"129","dosa.vs..all","~~","dosa.vs..all",0.993639702348383,0.0103856021732626,95.6747317845923,0,0.973284296131027,1.01399510856574,0.940348711894557,0.999294590385241,0.0157753700384323
